source_record_id,role,repository,accession,url,is_direct,file_type,size_bytes,size_basis,count_in_storage,retrieved_date,notes
humanbrain,raw,ENA,SRR26212818,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/018/SRR26212818/SRR26212818_2.fastq.gz,true,FASTQ,9383471422,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212820,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/020/SRR26212820/SRR26212820_1.fastq.gz,true,FASTQ,16213296935,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212820,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/020/SRR26212820/SRR26212820_2.fastq.gz,true,FASTQ,16134600529,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212826,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/026/SRR26212826/SRR26212826_1.fastq.gz,true,FASTQ,12345076479,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212826,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/026/SRR26212826/SRR26212826_2.fastq.gz,true,FASTQ,12287582049,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212828,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/028/SRR26212828/SRR26212828_1.fastq.gz,true,FASTQ,17606816723,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212828,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/028/SRR26212828/SRR26212828_2.fastq.gz,true,FASTQ,17398389344,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212832,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/032/SRR26212832/SRR26212832_1.fastq.gz,true,FASTQ,37352153688,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212832,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/032/SRR26212832/SRR26212832_2.fastq.gz,true,FASTQ,37137479117,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212834,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/034/SRR26212834/SRR26212834_1.fastq.gz,true,FASTQ,16397474715,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212834,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/034/SRR26212834/SRR26212834_2.fastq.gz,true,FASTQ,16258165178,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212839,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/039/SRR26212839/SRR26212839_1.fastq.gz,true,FASTQ,15007604216,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212839,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/039/SRR26212839/SRR26212839_2.fastq.gz,true,FASTQ,14932687234,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212840,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/040/SRR26212840/SRR26212840_1.fastq.gz,true,FASTQ,14195000229,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212840,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/040/SRR26212840/SRR26212840_2.fastq.gz,true,FASTQ,14080980232,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212843,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/043/SRR26212843/SRR26212843_1.fastq.gz,true,FASTQ,7267022238,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212843,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/043/SRR26212843/SRR26212843_2.fastq.gz,true,FASTQ,7209767392,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212847,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/047/SRR26212847/SRR26212847_1.fastq.gz,true,FASTQ,10541121758,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212847,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/047/SRR26212847/SRR26212847_2.fastq.gz,true,FASTQ,10486102149,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
