dataset_id,dataset_version_id,multiome_cell_count,multiome_primary_cell_count
8ef06ea4-8d0f-4303-a652-7d4604402b1f,30127f02-d0b9-4b56-bf4c-e5b77e4989bd,83008,83008
92594117-6e7c-47bd-bd6b-65c52cea167b,a1e971da-5c35-46fd-acc3-b742735ec7d9,116778,116778
963a08cb-d995-4862-9614-f9d38a7d7540,883270e9-41e6-4c2c-b352-b15c292d2a34,226506,226506
9940f951-3dc0-4579-bbb2-2392786e59a3,d847bbb8-9be5-473c-9f3a-4af707a2cd05,9919,0
9ac3d74d-1d94-4ff9-abf9-fe5abe4bd2a6,19aab2ef-654a-4047-8f60-3529c041851d,192616,192616
9ff9f9ba-016b-4cbb-8899-45dc20860b8b,5dbf014b-ac61-40a8-b836-8b56e55aa666,5674,0
a0d173dd-bb10-4d13-8b9a-e13a4ee83c8c,d9d217bf-9a57-440c-9b0b-885185f94240,9686,0
a190b2e9-3796-4785-9a2f-013e2a9a43e6,4a582497-f8a8-480d-a085-64fa2887b2c2,1288,0
a4e89c26-e8d4-4471-9b06-16a1405880f0,29f02ab8-ac06-45d6-b610-ad1161d58453,1889,0
aa369999-a034-4ad9-b459-8a93c86ea77b,a4310202-4dc8-4e1b-a96d-d9675f5b14d1,232328,232328
ac0fee7e-0999-4319-b244-20278e1ff2fb,67385399-fe99-4f46-b8df-aa18fa4bd82d,20328,0
b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e,e6e74dde-2953-4691-86f8-6806c6d8f3b6,1152,0
b57462e3-1df5-463a-a3fa-4d67b93ef087,72dab565-a96b-4b06-a1b7-3413efeff523,26158,26158
b6f472f1-a58d-43a7-a898-2d6822a0b2b2,9e592a91-b992-4f54-9bbe-2f53dd3308da,4468,4468
b74100ea-1a1a-486a-9cad-70ae44150935,18a1753c-4c65-4bc8-a16c-420cf84ad435,40892,0
b8920ef5-7d22-497b-abca-a7a9eb76d79a,9b16a223-c8f2-4697-b2f5-c2f339e0df0f,1037,0
bdc7e498-c27d-4156-a342-8653e87001fb,70ba6bf7-d630-4274-baa2-9752924dcf56,4101,0
c19275f5-739e-4796-ad5d-b0830b760db1,10dd9ad4-c0fe-4918-8d35-04058f3a87ee,1984,0
c2876b1b-06d8-4d96-a56b-5304f815b99a,732b4aa7-e441-4196-b05e-127433425613,151356,151356
c3bf8bcf-abb7-4d71-8491-bd4901b474cf,0ba987e4-3040-448d-a3db-49e0ea73c80b,95892,95892
c76098ba-eed3-45b1-98f2-96fcac55ed18,ab53c08f-03a3-4e0e-973a-44beabd78f60,4111,0
c85b715e-6eff-409b-aa8f-cb0147171c27,bfa9ec37-f92b-4fd8-a5c1-6838268c22cc,9652,0
d0ea3ec4-0f3b-4649-9146-1c0b5f303a55,eddd7422-7f05-4c77-bfe0-4b3e8665a78f,907,0
d2fc9880-e6d3-4922-af5c-61f4f517adfa,021a2e09-19c6-42eb-9e52-3ed2cf3d6032,11825,0
d567b692-c374-4628-a508-8008f6778f22,1e1e07c3-bfcb-4a0d-91de-c2614a891409,211060,211060
d7f5d8d0-6150-48d7-b094-c34286ad11a1,a0866f01-2a0e-4984-8a93-e5e829685e75,109255,109255
d87f3f91-dca4-494b-8993-c4e3008a8fa5,cf14bcbb-f691-4d39-98d1-59de53c666c4,8925,0
db63e37d-3f18-467b-98c8-089b271454c3,c4163664-f020-4fd9-b8ba-4d459355ba12,72382,72382
de104f7e-14fa-4795-bd19-b5ee2c1563e0,db8fd714-0013-4b28-acfb-415219ddd1cb,4983,0
e1b09351-423f-471b-998f-ff865cd2ca74,313a03f1-52d1-42aa-830c-d5185a7990a8,821,0
e2a00644-0a48-4815-ae87-d562045114f5,a1ccad25-1438-41f6-a09e-d4960ca36b67,35866,35866
e73e4eb8-d5f3-47c3-b446-330f37d042da,fbdd0e80-05a3-4b1a-baa7-7486398b5d58,29523,0
e80b654f-37f3-43d0-a78a-8b9ff93c36a9,82cfc40e-77a4-4740-9210-78dc374acb3e,88658,0
e88a8e7c-0586-4690-8aa6-34efd7076f7a,02e1d36f-3019-49c9-aa3d-3a7df7ae9fd8,4502568,4502568
e8ac3386-31d4-48ba-aa70-1bae0cf020e7,e9ecc60e-9de2-4a19-9b13-2af9666602b2,2058,0
e95b508e-0275-4b12-82c6-0cda7ee89bf9,85d71c48-fc85-44a0-a476-71561a21ba2e,172370,172370
ecf2e08e-2032-4a9e-b466-b65b395f4a02,6963899a-879d-4b63-abd5-b11ddb7f8bef,7972,0
eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0,ffa13314-dc7c-4651-97c6-fc099e90ae64,4261,0
f13b63f5-779f-478a-90a7-5ee65d9d6828,a0971a2c-a7bd-4e68-a459-35b8ef343b8b,29897,0
f171db61-e57e-4535-a06a-35d8b6ef8f2b,52340498-6bfb-41c0-b56f-d070d125e161,6178,0
f67f2cfa-ba45-4f77-8e26-64a15f666043,ed6e60fa-a085-4044-8535-b57ff0e788fe,740,0
f8c4782a-5be8-4de6-81b6-ec57ead9c7b5,cd8f7735-09d8-4f58-b4d0-820184dc1b6b,821,0
f9ef78fc-700f-4e97-8a4c-85df06a2c583,4d76b7b4-4d67-4016-b881-ab86e7f4d7f5,58417,0
fc0ceb80-d2d9-47c1-9d78-b0e45c64c500,feea960d-f81c-4815-8ec2-26592e82de80,105,0
