source,source_record_id,collection_id,collection_title,dataset_title,tissues,species,assays,is_multiome_only,cell_count,primary_cell_count,multiome_cell_count,multiome_primary_cell_count,multiome_cell_count_basis,doi,portal_url,raw_data_urls,raw_data_status,processed_data_urls,other_data_urls,available_file_types,has_adata,has_bigwig,has_fragments,has_bed,raw_storage_bytes,raw_storage_basis,processed_storage_bytes,processed_storage_basis,total_storage_bytes,access,retrieved_date
CELLxGENE Discover,09b518f9-da64-44cc-aec8-70a89d55611f,4cbb929b-b03b-4aa8-a943-00f61dc22641,Multimodal benchmarking dataset for renal cortex characterization (mBDRC),multimodal benchmarking dataset for renal cortex characterization - multiome only (fragment files included),cortex of kidney,Homo sapiens,10x multiome,true,37717,37717,37717,37717,exact current H5AD obs assay labels,10.1101/2025.03.06.637075,https://cellxgene.cziscience.com/collections/4cbb929b-b03b-4aa8-a943-00f61dc22641,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/e037f157-49b6-4a1b-b34f-51a928778a27-fragment.tsv.bgz; https://datasets.cellxgene.cziscience.com/e037f157-49b6-4a1b-b34f-51a928778a27-fragment.tsv.bgz.tbi; https://datasets.cellxgene.cziscience.com/46aada24-d005-4486-9e21-866da4fdbd7a.h5ad,,H5AD; fragment; fragment_index,true,false,true,false,370347169984,modeled from 9.82 MB/multiome primary cell,4403121263,exact sum of CELLxGENE asset sizes,374750291247,public,2026-08-01
CELLxGENE Discover,203025fe-fa99-4d57-81da-458ed8f0c334,433700dc-e8a5-48b0-b5cd-beb22f3f88fe,Brain vascular single-cell multi-omics elucidates disease risk associations,Brain vascular single-cell multi-omics elucidates disease risk associations - snRNA-seq,dorsolateral prefrontal cortex,Homo sapiens,10x multiome,true,65479,65479,65479,65479,exact current H5AD obs assay labels,,https://cellxgene.cziscience.com/collections/433700dc-e8a5-48b0-b5cd-beb22f3f88fe,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/25da7ccb-04ca-49d2-b00b-a794ef8c766d.h5ad,,H5AD,true,false,false,false,642945153204,modeled from 9.82 MB/multiome primary cell,627654439,exact sum of CELLxGENE asset sizes,643572807643,public,2026-08-01
CELLxGENE Discover,f13b63f5-779f-478a-90a7-5ee65d9d6828,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Neuron_GABA,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,29897,0,29897,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/a0971a2c-a7bd-4e68-a459-35b8ef343b8b.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),230372529,exact sum of CELLxGENE asset sizes,230372529,public,2026-08-01
CELLxGENE Discover,e73e4eb8-d5f3-47c3-b446-330f37d042da,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Neuron_GLUT,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,29523,0,29523,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/fbdd0e80-05a3-4b1a-baa7-7486398b5d58.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),224017074,exact sum of CELLxGENE asset sizes,224017074,public,2026-08-01
CELLxGENE Discover,bdc7e498-c27d-4156-a342-8653e87001fb,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_OPC,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,4101,0,4101,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/70ba6bf7-d630-4274-baa2-9752924dcf56.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),40085876,exact sum of CELLxGENE asset sizes,40085876,public,2026-08-01
CELLxGENE Discover,5e9fbc0b-16ff-4245-bd59-c22d4113c017,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Immune,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,10845,0,10845,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/c3b4c13b-7a8e-4ea9-adeb-fbd5b3ee9271.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),88475379,exact sum of CELLxGENE asset sizes,88475379,public,2026-08-01
CELLxGENE Discover,5662e542-8cf7-487b-8423-f50b64dc6421,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Vascular,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,5683,0,5683,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/63a24ee0-03aa-4747-8fba-6673f04d86c6.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),43190559,exact sum of CELLxGENE asset sizes,43190559,public,2026-08-01
CELLxGENE Discover,4398dcfc-f86b-4d52-aa9f-1f2cf902c0cf,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_RGL,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,70803,0,70803,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/ecaf3bd4-55a8-471a-9d94-bc3d64dae249.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),545259999,exact sum of CELLxGENE asset sizes,545259999,public,2026-08-01
CELLxGENE Discover,2ad168af-ae8c-469e-b21f-dd7f93146d7e,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_FBL,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,8841,0,8841,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/274ed523-78e7-4ea5-85ec-b91a17497fbb.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),73474136,exact sum of CELLxGENE asset sizes,73474136,public,2026-08-01
CELLxGENE Discover,19f1bec6-eeb7-4133-accc-992d745fef89,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,Full_Dataset,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,166785,166785,166785,166785,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/49a73aea-76d5-40a1-b5e4-fa6c0831e164-fragment.tsv.bgz; https://datasets.cellxgene.cziscience.com/49a73aea-76d5-40a1-b5e4-fa6c0831e164-fragment.tsv.bgz.tbi; https://datasets.cellxgene.cziscience.com/e88a34d0-d28a-4d10-a8c5-d59f86ba621a.h5ad,,H5AD; fragment; fragment_index,true,false,true,false,1637679368608,modeled from 9.82 MB/multiome primary cell,50534468887,exact sum of CELLxGENE asset sizes,1688213837495,public,2026-08-01
